John,Cena,24,2559,JohnCena2559@gmail.com,E7,<o1&7pF4,Very energetic
Jessie,Quick,29,2685,JessieQuick2685@gmail.com,B2,52{f15Fu,A Normal Being
Kara,Danvers,30,4385,KaraDanvers4385@gmail.com,E9,^o24s|2},Very energetic
Clark,Danvers,31,7797,ClarkDanvers7797@gmail.com,B8,T616e)HE,A Normal Being
Harrison,Wells,50,8040,HarrisonWells8040@gmail.com,A7,149D4K59,Adventerous
Barry,Allen,30,5533,BarryAllen5533@gmail.com,C8,J%6\;x^7,Schizophrenic
Wally,West,35,1858,WallyWest1858@gmail.com,B4,",Ldk@E]^",A very random person
Rover,Wuthering,40,1590,RoverWuthering1590@gmail.com,C10,n4:^$1)W,Batman?
Gusion,Emperor,60,4485,GusionEmperor4485@gmail.com,C9,5[|78ZJ?,Very energetic
Arrison,Gacha,25,1898,ArrisonGacha1898@gmail.com,D1,3/0l`|S{,A Normal Being
ryan,Lucy,40,1974,ryanLucy1974@gmail.com,C4,`9819D'!,Schizophrenic
Luffy,Money,25,4491,LuffyMoney4491@gmail.com,E6,2^sd!/7;,A Normal Being
Lily,Akaza,26,8425,LilyAkaza8425@gmail.com,E2,"`5)l&,8""",A very random person
